"Store","Date","actual_sales","split","ts_forecast","ma_forecast","ensemble_forecast","ts_blend_weight","ma_blend_weight","ensemble_error","abs_error","ape","upper_95","lower_95"
1,"2013-01-18",4127,"train","4737","4825","4780","0.511","0.489","-653","653","15.82","6553","3007"
1,"2013-01-19",5182,"train","4916","5004","4959","0.511","0.489","223","223","4.30","6732","3186"
1,"2013-01-21",5394,"train","5156","5244","5199","0.511","0.489","195","195","3.62","6972","3426"
1,"2013-01-22",5720,"train","4656","4744","4699","0.511","0.489","1021","1021","17.85","6472","2926"
1,"2013-01-23",5578,"train","4509","4596","4552","0.511","0.489","1026","1026","18.39","6325","2779"
1,"2013-01-24",5195,"train","4421","4510","4465","0.511","0.489","730","730","14.05","6238","2692"
1,"2013-01-25",5586,"train","4736","4825","4780","0.511","0.489","806","806","14.43","6553","3007"
1,"2013-01-26",5598,"train","4914","5004","4958","0.511","0.489","640","640","11.43","6731","3185"
1,"2013-01-28",4055,"train","5154","5244","5198","0.511","0.489","-1143","1143","28.19","6971","3425"
1,"2013-01-29",3725,"train","4655","4744","4699","0.511","0.489","-974","974","26.15","6472","2926"
1,"2013-01-30",4601,"train","4508","4596","4551","0.511","0.489","50","50","1.09","6324","2778"
1,"2013-01-31",4709,"train","4420","4510","4464","0.511","0.489","245","245","5.20","6237","2691"
1,"2013-02-01",5633,"train","4946","4825","4887","0.511","0.489","746","746","13.24","6660","3114"
1,"2013-02-02",5970,"train","5125","5004","5066","0.511","0.489","904","904","15.14","6839","3293"
1,"2013-02-04",7032,"train","5365","5244","5306","0.511","0.489","1726","1726","24.54","7079","3533"
1,"2013-02-05",6049,"train","4866","4744","4806","0.511","0.489","1243","1243","20.55","6579","3033"
1,"2013-02-06",6140,"train","4719","4596","4659","0.511","0.489","1481","1481","24.12","6432","2886"
1,"2013-02-07",5499,"train","4630","4510","4571","0.511","0.489","928","928","16.88","6344","2798"
1,"2013-02-08",5681,"train","4945","4825","4886","0.511","0.489","795","795","13.99","6659","3113"
1,"2013-02-09",5370,"train","5124","5004","5065","0.511","0.489","305","305","5.68","6838","3292"
1,"2013-02-11",4409,"train","5364","5244","5305","0.511","0.489","-896","896","20.32","7078","3532"
1,"2013-02-12",4015,"train","4864","4744","4805","0.511","0.489","-790","790","19.68","6578","3032"
1,"2013-02-13",4252,"train","4717","4596","4658","0.511","0.489","-406","406","9.55","6431","2885"
1,"2013-02-14",4241,"train","4629","4510","4571","0.511","0.489","-330","330","7.78","6344","2798"
1,"2013-02-15",4809,"train","4944","4825","4886","0.511","0.489","-77","77","1.60","6659","3113"
1,"2013-02-16",6154,"train","5123","5004","5065","0.511","0.489","1089","1089","17.70","6838","3292"
1,"2013-02-18",6407,"train","5362","5244","5304","0.511","0.489","1103","1103","17.22","7077","3531"
1,"2013-02-19",5386,"train","4863","4744","4805","0.511","0.489","581","581","10.79","6578","3032"
1,"2013-02-20",5660,"train","4716","4596","4657","0.511","0.489","1003","1003","17.72","6430","2884"
1,"2013-02-21",5261,"train","4628","4510","4570","0.511","0.489","691","691","13.13","6343","2797"
1,"2013-02-22",5000,"train","4943","4825","4885","0.511","0.489","115","115","2.30","6658","3112"
1,"2013-02-23",5237,"train","5121","5004","5064","0.511","0.489","173","173","3.30","6837","3291"
1,"2013-02-25",4038,"train","5361","5244","5304","0.511","0.489","-1266","1266","31.35","7077","3531"
1,"2013-02-26",3794,"train","4862","4744","4804","0.511","0.489","-1010","1010","26.62","6577","3031"
1,"2013-02-27",4558,"train","4715","4596","4657","0.511","0.489","-99","99","2.17","6430","2884"
1,"2013-02-28",4676,"train","4626","4510","4569","0.511","0.489","107","107","2.29","6342","2796"
1,"2013-03-01",4611,"train","5167","4825","5000","0.511","0.489","-389","389","8.44","6773","3227"
1,"2013-03-02",5350,"train","5346","5004","5179","0.511","0.489","171","171","3.20","6952","3406"
1,"2013-03-04",7675,"train","5586","5244","5419","0.511","0.489","2256","2256","29.39","7192","3646"
1,"2013-03-05",6300,"train","5087","4744","4919","0.511","0.489","1381","1381","21.92","6692","3146"
1,"2013-03-06",5973,"train","4939","4596","4771","0.511","0.489","1202","1202","20.12","6544","2998"
1,"2013-03-07",5637,"train","4851","4510","4684","0.511","0.489","953","953","16.91","6457","2911"
1,"2013-03-08",5853,"train","5166","4825","4999","0.511","0.489","854","854","14.59","6772","3226"
1,"2013-03-09",5578,"train","5345","5004","5178","0.511","0.489","400","400","7.17","6951","3405"
1,"2013-03-11",4949,"train","5585","5244","5418","0.511","0.489","-469","469","9.48","7191","3645"
1,"2013-03-12",3853,"train","5085","4744","4918","0.511","0.489","-1065","1065","27.64","6691","3145"
1,"2013-03-13",4341,"train","4938","4596","4771","0.511","0.489","-430","430","9.91","6544","2998"
1,"2013-03-14",5108,"train","4850","4510","4684","0.511","0.489","424","424","8.30","6457","2911"
1,"2013-03-15",4925,"train","5165","4825","4999","0.511","0.489","-74","74","1.50","6772","3226"
1,"2013-03-16",5003,"train","5343","5004","5177","0.511","0.489","-174","174","3.48","6950","3404"
1,"2013-03-18",7072,"train","5583","5244","5417","0.511","0.489","1655","1655","23.40","7190","3644"
1,"2013-03-19",6563,"train","5084","4744","4918","0.511","0.489","1645","1645","25.06","6691","3145"
1,"2013-03-20",5598,"train","4937","4596","4770","0.511","0.489","828","828","14.79","6543","2997"
