"Store","year","month","month_name","split","trading_days","actual_monthly_sales","forecast_monthly_sales","avg_daily_actual","avg_daily_forecast","monthly_error","monthly_ape","upper_95_monthly","lower_95_monthly","excellent_days","poor_days"
1,2013,1,"Jan","train","12","59470","57304","4956","4775","2166","3.64","78580","36028","4","0"
1,2013,2,"Feb","train","24","125271","117155","5220","4881","8116","6.48","159707","74603","8","1"
1,2013,3,"Mar","train","25","145169","125041","5807","5002","20128","13.87","169366","80716","11","1"
1,2013,4,"Apr","train","25","118009","120053","4720","4802","-2044","1.73","164378","75728","12","3"
1,2013,5,"May","train","23","118225","112237","5140","4880","5988","5.06","153016","71458","10","2"
1,2013,6,"Jun","train","25","113411","118378","4536","4735","-4967","4.38","162703","74053","10","1"
1,2013,7,"Jul","train","27","128032","128204","4742","4748","-172","0.13","176075","80333","5","1"
1,2013,8,"Aug","train","27","118320","123614","4382","4578","-5294","4.47","171485","75743","10","3"
1,2013,9,"Sep","train","25","108867","113663","4355","4547","-4796","4.41","157988","69338","9","0"
1,2013,10,"Oct","train","26","114641","120022","4409","4616","-5381","4.69","166120","73924","8","6"
1,2013,11,"Nov","train","26","127596","129187","4908","4969","-1591","1.25","175285","83089","16","2"
1,2013,12,"Dec","train","24","145168","134461","6049","5603","10707","7.38","177013","91909","7","6"
1,2014,1,"Jan","train","26","118814","123003","4570","4731","-4189","3.53","169101","76905","12","2"
1,2014,2,"Feb","train","24","110434","116365","4601","4849","-5931","5.37","158917","73813","14","4"
1,2014,3,"Mar","train","26","116467","129601","4480","4985","-13134","11.28","175699","83503","9","6"
1,2014,4,"Apr","train","24","115292","113793","4804","4741","1499","1.30","156345","71241","5","3"
1,2014,5,"May","train","25","117715","121787","4709","4871","-4072","3.46","166112","77462","11","4"
1,2014,6,"Jun","train","23","107905","108284","4692","4708","-379","0.35","149063","67505","7","3"
1,2014,7,"Jul","train","27","122604","126580","4541","4688","-3976","3.24","174451","78709","7","0"
1,2014,8,"Aug","train","26","111004","118485","4269","4557","-7481","6.74","164583","72387","10","5"
1,2014,9,"Sep","train","26","106398","117257","4092","4510","-10859","10.21","163355","71159","9","4"
1,2014,10,"Oct","train","26","114897","118932","4419","4574","-4035","3.51","165030","72834","11","1"
1,2014,11,"Nov","train","25","130852","123386","5234","4935","7466","5.71","167711","79061","13","2"
1,2014,12,"Dec","train","25","161026","138740","6441","5550","22286","13.84","183065","94415","6","6"
1,2015,1,"Jan","test","26","119602","122640","4600","4717","-3038","2.54","168738","76542","14","3"
1,2015,2,"Feb","test","24","106635","115561","4443","4815","-8926","8.37","158113","73009","13","3"
