"Store","StoreType","Assortment","total_sales","avg_daily_sales","total_customers","avg_daily_customers","trading_days","sales_per_customer","sales_stddev","rank_by_avg_sales","rank_by_total_sales","rank_by_efficiency","percentile"
817,"a","a","17057867","21757","2454370","3131","784","6.94","4675","1","2","527","100.0"
262,"b","a","19516842","20719","3204694","3402","942","6.06","4669","2","1","567","99.9"
1114,"a","c","16202585","20667","2509542","3201","784","6.45","3453","3","4","552","99.8"
251,"a","c","14896870","19123","1908934","2450","779","7.77","3548","4","5","454","99.7"
842,"d","c","11553523","18575","714829","1149","622","16.06","3789","5","17","1","99.6"
513,"a","a","14252406","18179","1643527","2096","784","8.63","3285","6","6","377","99.6"
562,"b","c","16927322","17970","2924960","3105","942","5.76","2932","7","3","571","99.5"
788,"a","c","14082141","17962","1346835","1718","784","10.44","3151","8","7","220","99.4"
383,"a","c","13489879","17295","1720249","2205","780","7.81","2786","9","9","451","99.3"
756,"a","c","12911782","16575","1827980","2347","779","7.04","3913","10","10","519","99.2"
698,"a","a","12202270","15564","1518304","1937","784","8.00","2507","11","12","435","99.1"
523,"c","c","12175995","15531","1397803","1783","784","8.66","3364","12","13","374","99.0"
586,"a","c","11742401","15132","1832458","2361","776","6.39","3539","13","15","556","98.9"
595,"c","c","11774982","15019","1382516","1763","784","8.44","3370","14","14","393","98.8"
733,"b","b","14067158","14933","3206058","3403","942","4.39","1838","15","8","577","98.7"
320,"a","c","11630218","14834","1617489","2063","784","7.13","3410","16","16","513","98.7"
380,"a","a","11261676","14457","1075375","1380","779","10.38","3410","17","18","225","98.6"
544,"a","a","10993709","14094","1439156","1845","780","7.54","4209","18","19","473","98.5"
336,"a","a","10850316","13911","1529043","1960","780","7.02","3276","19","22","521","98.4"
1033,"a","a","10870270","13865","1018597","1299","784","10.60","3290","20","20","206","98.3"
546,"a","a","10726323","13682","1271083","1621","784","8.42","2348","21","23","395","98.2"
560,"c","c","10168806","13613","1225287","1640","747","8.23","3288","22","31","413","98.1"
467,"a","c","10501035","13480","1257034","1614","779","8.31","2913","23","25","406","98.0"
335,"b","a","12541731","13314","2246936","2385","942","5.50","4762","24","11","574","97.9"
470,"a","c","10174712","13112","1377377","1775","776","7.33","3141","25","30","493","97.8"
1027,"a","c","8163847","13104","1032892","1658","623","7.79","3755","26","70","453","97.8"
211,"a","c","10187567","12994","1164871","1486","784","8.67","3177","27","28","373","97.7"
768,"a","c","10185601","12992","1054827","1345","784","9.53","3350","28","29","300","97.6"
84,"a","c","10092722","12956","1084610","1392","779","9.23","2948","29","32","325","97.5"
827,"a","c","10000214","12772","1302475","1663","783","7.69","3037","30","33","462","97.4"
831,"a","a","9884733","12689","1228453","1577","779","7.94","3618","31","34","440","97.3"
261,"d","c","9828244","12616","739220","949","779","12.93","4872","32","35","54","97.2"
1014,"a","c","9509102","12207","1051375","1350","779","8.95","4572","33","36","351","97.1"
444,"c","a","9470625","12189","1105765","1423","777","8.56","3275","34","37","383","97.0"
820,"a","c","7517399","12086","677726","1090","622","11.05","2170","35","104","172","96.9"
1092,"a","a","7439455","11961","724644","1165","622","10.23","1881","36","110","239","96.9"
469,"c","c","9330742","11901","1192174","1521","784","7.75","3046","37","38","456","96.8"
125,"a","a","9280089","11837","1233970","1574","784","7.46","2742","38","39","480","96.7"
1018,"c","c","9187204","11748","1063112","1359","782","8.56","2844","39","40","383","96.6"
903,"d","c","7300878","11738","508657","818","622","14.31","2210","40","126","9","96.5"
259,"b","b","10851871","11656","2210980","2375","931","4.88","2504","41","21","575","96.4"
390,"a","c","9023552","11569","832564","1067","780","10.74","2694","42","42","194","96.3"
974,"a","a","7178474","11541","971204","1561","622","7.36","2171","43","140","490","96.2"
640,"d","c","8984969","11534","685137","880","779","13.00","2649","44","44","50","96.1"
1075,"a","c","9004545","11485","856724","1093","784","10.48","1577","45","43","216","96.1"
539,"a","a","7035419","11311","710498","1142","622","9.86","1714","46","155","270","96.0"
449,"a","c","8789176","11254","1198781","1535","781","7.26","2887","47","45","500","95.9"
479,"a","a","8782548","11231","1039144","1329","782","8.36","3030","48","46","401","95.8"
682,"b","a","10557379","11207","1656830","1759","942","6.28","3254","49","24","561","95.7"
207,"a","a","8768418","11184","1019499","1300","784","8.47","3256","50","47","391","95.6"
