"Store","StoreType","Assortment","competition_distance","inventory_risk","forecastability","replenishment_freq","store_segment","avg_daily_forecast","forecast_volatility","avg_mape","pct_excellent","pct_poor","safety_stock","reorder_point","min_stock_level","max_stock_level","optimal_order_qty","demand_cv_pct","alert_level","days_of_stock","velocity_ratio","recommended_order_qty","last_7d_avg_sales","last_7d_mape","sales_rank","accuracy_rank","total_sales","historical_avg_sales","total_customers","avg_daily_customers","sales_per_customer","trading_days","rank_by_avg_sales","rank_by_total_sales","rank_by_efficiency","percentile","promo_day_pct","growth_pct","historical_cv_pct","rfm_segment","composite_score"
817,"a","a","140","Low risk","Highly forecastable","Daily","Premium","21870","3489","10.62","58.6","1.0","16609","75581","9971","316151","153090","16.0","OK       - Stock sufficient","7.4","0.95","76545","20712","5.7","1","30","17057867","21757","2454370","3131","6.94","784","1","2","527","100.0","45.0","-8.6","21.5","Star",12
262,"b","a","1180","Low risk","Highly forecastable","Daily","Premium","20770","3426","9.67","61.4","3.0","15531","72101","9791","300571","145390","16.5","MONITOR  - Reorder soon","6.4","1.10","72695","22793","11.7","2","17","19516842","20719","3204694","3402","6.06","942","2","1","567","99.9","38.2","0.2","22.5","Star",9
1114,"a","c","870","Low risk","Highly forecastable","Daily","Premium","20540","1400","11.02","56.5","2.5","10470","65621","4001","291561","143780","6.8","MONITOR  - Reorder soon","5.9","1.19","71890","24417","16.1","3","37","16202585","20667","2509542","3201","6.45","784","3","4","552","99.8","45.0","5.9","16.7","Star",12
251,"a","c","340","Low risk","Forecastable","Daily","Premium","19092","1336","13.04","47.1","5.1","10933","61094","3818","271106","133644","7.0","OK       - Stock sufficient","7.1","0.98","66822","18746","15.0","4","85","14896870","19123","1908934","2450","7.77","779","4","5","454","99.7","44.9","2.3","18.6","Star",11
842,"d","c","1200","Low risk","Forecastable","Daily","Premium","18361","1706","13.01","49.2","7.4","11702","59959","4876","261930","128527","9.3","MONITOR  - Reorder soon","5.7","1.24","64264","22678","13.0","5","83","11553523","18575","714829","1149","16.06","622","5","17","1","99.6","44.1","10.8","20.4","Star",9
513,"a","a","400","Low risk","Forecastable","Daily","Premium","18153","1313","13.39","45.7","4.8","10699","58211","3752","257894","127071","7.2","OK       - Stock sufficient","7.2","0.97","63536","17583","9.0","6","96","14252406","18179","1643527","2096","8.63","784","6","6","377","99.6","45.0","-5.5","18.1","Star",12
562,"b","c","1210","Low risk","Highly forecastable","Daily","Premium","18034","1823","9.31","63.6","1.4","10008","59312","5210","257686","126238","10.1","OK       - Stock sufficient","7.1","0.99","63119","17876","6.4","7","11","16927322","17970","2924960","3105","5.76","942","7","3","571","99.5","38.2","0.1","16.3","Star",9
788,"a","c","1530","Low risk","Forecastable","Daily","Premium","18013","1694","11.80","49.1","3.5","10916","58880","4841","257023","126091","9.4","OK       - Stock sufficient","7.3","0.96","63046","17320","7.7","8","46","14082141","17962","1346835","1718","10.44","784","8","7","220","99.4","45.0","1.9","17.5","Star",12
383,"a","c","350","Low risk","Forecastable","Daily","Premium","17383","988","12.18","49.6","3.4","8874","54973","2824","246186","121681","5.7","MONITOR  - Reorder soon","6.8","1.03","60841","17956","11.5","9","58","13489879","17295","1720249","2205","7.81","780","9","9","451","99.3","44.7","-0.5","16.1","Star",9
756,"a","c","50","Low risk","Forecastable","Daily","Premium","16698","1599","17.04","38.4","14.8","12701","54664","4570","238342","116886","9.6","MONITOR  - Reorder soon","6.5","1.08","58443","17997","22.2","10","334","12911782","16575","1827980","2347","7.04","779","10","10","519","99.2","44.9","6.1","23.6","Star",10
523,"c","c","50","Low risk","Forecastable","Daily","Premium","15489","1667","13.81","42.2","8.2","10877","51231","4764","221610","108423","10.8","OK       - Stock sufficient","7.9","0.88","54212","13705","10.9","11","113","12175995","15531","1397803","1783","8.66","784","12","13","374","99.0","45.0","-15.5","21.7","Star",12
698,"a","a","1790","Low risk","Highly forecastable","Daily","Premium","15469","1210","10.38","55.6","1.7","8047","49865","3458","220024","108283","7.8","MONITOR  - Reorder soon","6.8","1.04","54142","16014","8.1","12","27","12202270","15564","1518304","1937","8.00","784","11","12","435","99.1","45.0","7.4","16.1","Star",11
586,"a","c","250","Low risk","Forecastable","Daily","Premium","15285","1521","15.84","41.5","11.2","11266","50202","4347","218337","106995","10.0","MONITOR  - Reorder soon","6.7","1.04","53498","15942","21.6","13","249","11742401","15132","1832458","2361","6.39","776","13","15","556","98.9","44.8","7.9","23.4","Star",9
733,"b","b","860","Low risk","Highly forecastable","Daily","Premium","15001","733","8.35","69.0","1.4","5675","47098","2095","212109","105007","4.9","OK       - Stock sufficient","7.1","0.98","52504","14731","7.6","14","3","14067158","14933","3206058","3403","4.39","942","15","8","577","98.7","38.2","4.8","12.3","Star",9
320,"a","c","210","Low risk","Forecastable","Daily","Premium","14926","1669","14.88","43.8","9.2","11117","49548","4770","213734","104482","11.2","MONITOR  - Reorder soon","6.4","1.10","52241","16437","15.5","15","189","11630218","14834","1617489","2063","7.13","784","16","16","513","98.7","45.0","3.5","23.0","Star",12
595,"c","c","1130","Low risk","Forecastable","Daily","Premium","14862","1293","15.84","39.4","12.1","10423","48281","3695","211763","104034","8.7","OK       - Stock sufficient","7.0","0.99","52017","14774","16.1","16","249","11774982","15019","1382516","1763","8.44","784","14","14","393","98.8","45.0","3.4","22.4","Star",12
380,"a","a","2240","Low risk","Hard to forecast","Daily","Premium","14478","1044","19.40","30.1","18.6","11011","46418","2984","205676","101346","7.2","OK       - Stock sufficient","7.0","1.01","50673","14576","17.0","17","497","11261676","14457","1075375","1380","10.38","779","17","18","225","98.6","44.9","-1.5","23.6","Star",10
544,"a","a","250","Low risk","Hard to forecast","Daily","Premium","14209","2583","18.98","35.1","16.8","15089","50009","7382","206308","99463","18.2","MONITOR  - Reorder soon","6.9","1.02","49732","14513","13.4","18","467","10993709","14094","1439156","1845","7.54","780","18","19","473","98.5","45.1","-6.8","29.9","High Volume",10
336,"a","a","190","Low risk","Forecastable","Daily","Premium","14000","1499","17.26","33.8","14.0","11190","46284","4284","200284","98000","10.7","MONITOR  - Reorder soon","6.4","1.09","49000","15253","15.4","19","347","10850316","13911","1529043","1960","7.02","780","19","22","521","98.4","44.7","-1.9","23.6","Star",8
1033,"a","a","7680","Low risk","Forecastable","Daily","Premium","13750","1897","15.31","38.7","10.4","11438","46671","5421","197921","96250","13.8","MONITOR  - Reorder soon","6.5","1.07","48125","14707","14.2","20","218","10870270","13865","1018597","1299","10.60","784","20","20","206","98.3","45.0","2.3","23.7","Star",11
546,"a","a","580","Low risk","Highly forecastable","Daily","Premium","13654","1290","10.80","54.8","1.7","7901","44649","3687","194843","95578","9.4","MONITOR  - Reorder soon","6.9","1.01","47789","13855","5.6","21","33","10726323","13682","1271083","1621","8.42","784","21","23","395","98.2","45.0","6.0","17.2","Star",12
467,"a","c","20390","Low risk","Forecastable","Daily","Premium","13619","1027","15.88","41.8","10.6","9116","43792","2935","193601","95333","7.5","OK       - Stock sufficient","7.2","0.97","47667","13260","17.1","22","252","10501035","13480","1257034","1614","8.31","779","23","25","406","98.0","44.9","0.6","21.6","Star",11
560,"c","c","1910","Low risk","Forecastable","Daily","Premium","13447","1242","16.48","40.1","12.7","9883","43890","3549","191807","94129","9.2","MONITOR  - Reorder soon","6.1","1.16","47065","15547","16.4","23","292","10168806","13613","1225287","1640","8.23","747","22","31","413","98.1","45.2","7.1","24.2","Star",11
